position,artist,title,year,youtube_link,spotify_link,base_year
15,Milk And Honey,Hallelujah,1979,https://www.youtube.com/watch?v=jKbvuYRR35E,https://open.spotify.com/track/0MSj3prJSpFXSAE7sq0us7,2021
16,Vicky Leandros,Apr̬s Toi,1972,https://www.youtube.com/watch?v=Ka89ORFu_Tc,https://open.spotify.com/track/13tx9je0ftBgu6BKpsQDo4,2021
17,Ruth Jacott,Vrede,1993,https://www.youtube.com/watch?v=HCuLhGZFqlc,https://open.spotify.com/track/1ijSg7COGeKN7Cu9ejnPet,2021
18,Edsilia Rombley,Hemel & Aarde,1998,https://www.youtube.com/watch?v=O_TDK5Q4BjA,https://open.spotify.com/track/16kFUvzMPTUEcE4rQjT2n5,2021
19,Lenny Kuhr,De Troubadour,1969,https://www.youtube.com/watch?v=7NDkJsPdLN8,https://open.spotify.com/track/2KCMlWqxxevzBWAsxRPXjH,2021
20,Nicole,Ein Bisschen Frieden,1982,https://www.youtube.com/watch?v=W9S3YMmIFdw,https://open.spotify.com/track/7JZHsMxhcaRKug5kA0DmDE,2021
21,Salvador Sobral,Amar Pelos Dois,2017,https://www.youtube.com/watch?v=Qotooj7ODCM,https://open.spotify.com/track/202ObLBtd9FxpOgpSj9xiG,2021
22,Bucks Fizz,Making Your Mind Up,1981,https://www.youtube.com/watch?v=h4-lKMGII_k,https://open.spotify.com/track/0Azn2vpP3Sbs8qAG8e1KUc,2021
23,Tozzi & Raff,Gente Di Mare,1987,https://www.youtube.com/watch?v=gJHd8NGgpec,https://open.spotify.com/track/6qdxrFxVkUd0bq5P6J132z,2021
24,France Gall,"Poup̩e De Cire, Poup̩e De Son",1965,https://www.youtube.com/watch?v=s5aeeSmkPwQ,https://open.spotify.com/track/6hHbNqaJeMLX3EbRErFtrA,2021
25,C̩line Dion,Ne Partez Pas Sans Moi,1988,https://www.youtube.com/watch?v=I1CwpCNThO4,https://open.spotify.com/track/0Kv4i96E41jbULmUajBYOe,2021
26,Douwe Bob,Slow Down,2016,https://www.youtube.com/watch?v=tCvWLi_ujl4,https://open.spotify.com/track/3YHPxuqHwfYUhoTWoNDwZt,2021
27,Emmelie De Forest,Only Teardrops,2013,https://www.youtube.com/watch?v=KTlKyLa7ZLg,https://open.spotify.com/track/3yRwgprKX3If2zcuGfKFBu,2021
28,Sandie Shaw,Puppet On A String,1967,https://www.youtube.com/watch?v=Ga1kMdJCc_Q,https://open.spotify.com/track/70ZsTynFv2rUBRAtLbuiXF,2021
29,Conchita Wurst,Rise Like A Phoenix,2014,https://www.youtube.com/watch?v=SaolVEJEjV4,https://open.spotify.com/track/0fvafkeEoF6Y9gGLK3Wnu3,2021
30,Dana,All Kinds Of Everything,1970,https://www.youtube.com/watch?v=h1a_5Hyzjks,https://open.spotify.com/track/3SJPRPwpF0MTFKPrshBeKM,2021
31,Alice & Franco Battiato,I Treni Di Tozeur,1984,https://www.youtube.com/watch?v=yVtkvuKpKf8,https://open.spotify.com/track/0o2eGeNxofrU3EF8aPgs9Y,2021
32,Mahmood,Soldi,2019,https://www.youtube.com/watch?v=22lISUXgSUw,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3,2021
33,Lordi,Hard Rock Hallelujah,2006,https://www.youtube.com/watch?v=gAh9NRGNhUU,https://open.spotify.com/track/4LmSxJVbKgclgUXcwZEisI,2021
34,Cliff Richard,Power To All Our Friends,1973,https://www.youtube.com/watch?v=H-NCuAOZ9I0,https://open.spotify.com/track/4oJxJpFIGUHlX6limr6rH1,2021
35,Michael Schulte,You Let Me Walk Alone,2018,https://www.youtube.com/watch?v=rp27Ggo_edo,https://open.spotify.com/track/07qlsG6DYRLBbovwca9Vbr,2021
36,Herrey's,Diggi Loo-Diggi Ley,1984,https://www.youtube.com/watch?v=ySOCalwr6Yo,https://open.spotify.com/track/2EKpCraXZdPTwpOwnEe090,2021
37,KEiiNO,Spirit In The Sky,2019,https://www.youtube.com/watch?v=Ovt7YGHAj8I,https://open.spotify.com/track/7B7O5jgFpWfc9orZw6FN4K,2021
38,Lena Meyer-Landrut,Satellite,2010,https://www.youtube.com/watch?v=8QSgNM9yNjo,https://open.spotify.com/track/2UjNsh4ipNrmog6wdS2JVv,2021
