position,artist,title,year,youtube_link,spotify_link,base_year
91,Coldplay,Paradise,2011,https://www.youtube.com/watch?v=CsvNCaW7vaA,https://open.spotify.com/track/1RjQEWhr0q1gh4isNcEBl9,2025
92,Meau,Dat Heb Jij Gedaan,2021,https://www.youtube.com/watch?v=zC1NAbimaOQ,https://open.spotify.com/track/6lgIi3ixBsr4cMt3r19yX9,2025
93,Ed Sheeran,Bad Habits,2021,https://www.youtube.com/watch?v=orJSJGHjBLI,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d,2025
94,Script & Will.I.Am,Hall Of Fame,2012,https://www.youtube.com/watch?v=mk48xRzuNvA,https://open.spotify.com/track/7wMq5n8mYSKlQIGECKUgTX,2025
95,Snelle,ReÃ¼nie,2019,https://www.youtube.com/watch?v=MlCEMOUDfEE,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu,2025
96,Lady GaGa,Born This Way,2011,https://www.youtube.com/watch?v=wV1FrqwZyKw,https://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca,2025
97,Son Mieux,Multicolor,2022,https://www.youtube.com/watch?v=IDKaCeTJi2Q,https://open.spotify.com/track/2ExdbieQffMXpY7ygN2YN9,2025
98,Guus Meeuwis,Geef Mij Je Angst,2003,https://www.youtube.com/watch?v=wh-xIvXpBP8,https://open.spotify.com/track/3HWNzYaGf9LmV6G3JYCEwS,2025
99,Mark Ronson & Bruno Mars,Uptown Funk!,2014,https://www.youtube.com/watch?v=OPf0YbXqDm0,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,2025
100,Samuel Welten,Echte Liefde Is Te Koop,2025,https://www.youtube.com/watch?v=cw0AyFUHCfc,https://open.spotify.com/track/7tW2Md8xOwnKPIYhCqPiU4,2025
101,Adele,Hello,2015,https://www.youtube.com/watch?v=YQHsXMglC9A,https://open.spotify.com/track/1MDoll6jK4rrk2BcFRP5i7,2025
102,Swedish House Mafia & John Martin,Don't You Worry Child,2012,https://www.youtube.com/watch?v=1y6smkh6c-0,https://open.spotify.com/track/2V65y3PX4DkRhy1djlxd9p,2025
103,Eminem,Like Toy Soldiers,2005,https://www.youtube.com/watch?v=lexLAjh8fPA,https://open.spotify.com/track/6CN3e26iQSj1N5lomh0mfO,2025
104,Claudia De Breij,Mag Ik Dan Bij Jou,2010,https://www.youtube.com/watch?v=2A7Yi_T00Q0,https://open.spotify.com/track/0iYDkElqY6uu0aw8CzOttm,2025
105,Dua Lipa,Houdini,2023,https://www.youtube.com/watch?v=suAR1PYFNYA,https://open.spotify.com/track/4OMJGnvZfDvsePyCwRGO7X,2025
106,BeyoncÃ©,Single Ladies (Put A Ring On It),2008,https://www.youtube.com/watch?v=4m1EFMoRFvY,https://open.spotify.com/track/557un1HgwYMuqfWGSTmnxw,2025
107,Dean Lewis,How Do I Say Goodbye,2022,https://www.youtube.com/watch?v=QCtEe-zsCtQ,https://open.spotify.com/track/5hnGrTBaEsdukpDF6aZg8a,2025
108,Mart Hoogkamer,Ik Ga Zwemmen,2021,https://www.youtube.com/watch?v=Ckg3byPznbk,https://open.spotify.com/track/1f9X68h6QGh01bD0r4g9DF,2025
109,Rihanna,Diamonds,2012,https://www.youtube.com/watch?v=lWA2pjMjpBs,https://open.spotify.com/track/6O20JhBJPePEkBdrB5sqRx,2025
110,Duncan Laurence,Arcade,2019,https://www.youtube.com/watch?v=Eztx7Wr8PtE,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,2025
111,Taylor Swift,Anti-Hero,2022,https://www.youtube.com/watch?v=b1kbLwvqugk,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,2025
112,Kris Kross Amsterdam & Antoon & Sigourney K,Vluchtstrook,2021,https://www.youtube.com/watch?v=ZzicHU4rJLo,https://open.spotify.com/track/63JrADDfrcjOaI6lyVkN3c,2025
113,Amy MacDonald,This Is The Life,2007,https://www.youtube.com/watch?v=iRYvuS9OxdA,https://open.spotify.com/track/3hjWiSJ81P3hOxdBXiqSW4,2025
114,Nick & Simon,Pak Maar M'n Hand,2007,https://www.youtube.com/watch?v=odssLpkKEBU,https://open.spotify.com/track/3jw3qNLVrfLgLodYh0I7id,2025
115,Sia,Chandelier,2013,https://www.youtube.com/watch?v=2vjPBrBU-TM,https://open.spotify.com/track/2s1sdSqGcKxpPr5lCl7jAV,2025
116,Martin Garrix & Bonn,High On Life,2018,https://www.youtube.com/watch?v=Lpjcm1F8tY8,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy,2025
117,Nothing But Thieves,Impossible (Orchestral Version Live At Abbey Road),2020,https://www.youtube.com/watch?v=8irM5QFkr6Q,https://open.spotify.com/track/2KVMuEgVOyOkxxx0xEFNMS,2025
118,Ed Sheeran,Azizam,2025,https://www.youtube.com/watch?v=MI9ZpIKgyf0,https://open.spotify.com/track/0GRc3eGTg8HBdWLRGYgqIc,2025
119,Emma Heesters & Rolf Sanchez,Pa Olvidarte,2019,https://www.youtube.com/watch?v=zUhVk-D_wK0,https://open.spotify.com/track/3XAaiiSNPVDvXC2CKAetY3,2025
120,Kensington,War,2014,https://www.youtube.com/watch?v=dkmjCAjAQug,https://open.spotify.com/track/6mEl7vK6usgdsNm4QFHeEd,2025
121,P!nk,A Million Dreams,2018,https://www.youtube.com/watch?v=xSBzMU1QyO8,https://open.spotify.com/track/0oagwWkGlBoACUuKvTmqZV,2025
122,Claude,Ladada (Mon Dernier Mot),2022,https://www.youtube.com/watch?v=DjIG4DIJVS0,https://open.spotify.com/track/0LVjBdjZvJykxed42ExTLf,2025
123,Bastille,Pompeii,2013,https://www.youtube.com/watch?v=F90Cw4l-8NY,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795,2025
124,AndrÃ© Hazes Jr.,Leef,2015,https://www.youtube.com/watch?v=2H0yWKdZM8g,https://open.spotify.com/track/4lBkLeU6LNgWzfbWPGm1c9,2025
125,Adele,Set Fire To The Rain,2011,https://www.youtube.com/watch?v=a2giXO6eyuI,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi,2025
126,Avicii,The Nights,2014,https://www.youtube.com/watch?v=UtF6Jej8yb4,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,2025
127,Bruno Mars,Just The Way You Are,2010,https://www.youtube.com/watch?v=LjhCEhWiKXk,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,2025
128,Maan & Goldband,Stiekem,2022,https://www.youtube.com/watch?v=L-4IuD75pCE,https://open.spotify.com/track/1ulgMAx95xb3N33SMklfG3,2025
129,Nicky Jam & Enrique Iglesias,El PerdÃ³n,2015,https://www.youtube.com/watch?v=1m7TF2nVV1c,https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,2025
130,Krezip,Sweet Goodbyes,2008,https://www.youtube.com/watch?v=ONI8xlyZIyo,https://open.spotify.com/track/4NH0G33zApUnRNsSK0CwuN,2025
131,Suzan & Freek & Snelle,De Overkant,2020,https://www.youtube.com/watch?v=9Ycl5xtHzxo,https://open.spotify.com/track/4afGO0WTInDhK2C3dolz8z,2025
132,Noah Kahan,Stick Season,2022,https://www.youtube.com/watch?v=JKrDdsgXuso,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv,2025
133,Clean Bandit & Sean Paul & Anne-Marie,Rockabye,2016,https://www.youtube.com/watch?v=papuvlVeZg8,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2025
134,Lady GaGa,Always Remember Us This Way,2018,https://www.youtube.com/watch?v=5vheNbQlsyU,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2025
135,Loreen,Euphoria,2012,https://www.youtube.com/watch?v=bcnWysA9gxo,https://open.spotify.com/track/2knr7ikPt4l7bk92qS4ZXW,2025
136,Dotan,Home,2014,https://www.youtube.com/watch?v=FZEuqzW16Nw,https://open.spotify.com/track/0BVUA3FXqQLvZb7r4T22NJ,2025
137,Miley Cyrus,The Climb,2009,https://www.youtube.com/watch?v=NG2zyeVRcbs,https://open.spotify.com/track/5x5JM1BSB6vollcIzDocqT,2025
138,Coldplay & BTS,My Universe,2021,https://www.youtube.com/watch?v=3YqPKLZF_WU,https://open.spotify.com/track/7btzRuXC6Ed3rIyomBRkO2,2025
139,Snollebollekes,Vrouwkes,2013,https://www.youtube.com/watch?v=Jz0w1EDhYic,https://open.spotify.com/track/1YttCaGuyv7rcrVQ0qRkhc,2025
140,Maroon 5,Memories,2019,https://www.youtube.com/watch?v=SlPhMPnQ58k,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2025
141,Imagine Dragons,Radioactive,2012,https://www.youtube.com/watch?v=ktvTqknDobU,https://open.spotify.com/track/69yfbpvmkIaB10msnKT7Q5,2025
142,Rihanna & Jay-Z,Umbrella,2007,https://www.youtube.com/watch?v=xXD5tltX9Pg,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,2025
143,Maan,Ze Huilt Maar Ze Lacht,2019,https://www.youtube.com/watch?v=j-HkuKxTYEU,https://open.spotify.com/track/0JWaEkQmU8oaSukOBCbrJC,2025
144,Justin Bieber,Sorry,2015,https://www.youtube.com/watch?v=fRh_vgS2dFE,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,2025
145,Lola Young,Messy,2024,https://www.youtube.com/watch?v=k-k2_Liofy8,https://open.spotify.com/track/3SKH53SPQbEnZR4cJPVaz2,2025
146,Harry Styles,Watermelon Sugar,2019,https://www.youtube.com/watch?v=E07s5ZYygMg,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2025
147,Lange Frans & Baas B,Het Land Van... (Live),2005,https://www.youtube.com/watch?v=yayMuZxlttc,https://open.spotify.com/track/0wMAsL98TGuI6eWUEocd1O,2025
148,Taylor Swift,Blank Space,2014,https://www.youtube.com/watch?v=e-ORhEE9VVg,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,2025
149,Di-Rect,Young Ones,2011,https://www.youtube.com/watch?v=YFYbGg7qSlM,https://open.spotify.com/track/1e9ec75rofTKNnaAC5885Y,2025
150,P!nk,What About Us,2017,https://www.youtube.com/watch?v=987xHnVfRI4,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv,2025
151,David Guetta & Kid Cudi,Memories,2010,https://www.youtube.com/watch?v=NUVCQXMUVnI,https://open.spotify.com/track/7fLzbEOBOae9lUnOwr7Tse,2025
152,Dasha,Austin,2023,https://www.youtube.com/watch?v=g6KyMjxRgwk,https://open.spotify.com/track/6b81dy3WjbozXK6b7C1gu5,2025
153,Hozier,Take Me To Church,2013,https://www.youtube.com/watch?v=PVjiKRfKpPI,https://open.spotify.com/track/1CS7Sd1u5tWkstBhpssyjP,2025
154,Robert Van Hemert,"Zoet, Zout, Zuur",2023,https://www.youtube.com/watch?v=YlK14Uhawg0,https://open.spotify.com/track/4xTjO1NgHBEbINFUQ9Kgao,2025
155,Dua Lipa,Dance The Night,2023,https://www.youtube.com/watch?v=OiC1rgCPmUQ,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA,2025
156,Kelly Clarkson,Because Of You,2005,https://www.youtube.com/watch?v=Ra-Om7UMSJc,https://open.spotify.com/track/3f3omU8n47Mqyab5nCaGyT,2025
157,Ed Sheeran,Castle On The Hill,2015,https://www.youtube.com/watch?v=K0ibBPhiaG0,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2025
158,Jay-Z & Alicia Keys,Empire State Of Mind,2009,https://www.youtube.com/watch?v=vk6014HuxcE,https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO,2025
159,Kensington,Streets,2014,https://www.youtube.com/watch?v=OoYbO46baX4,https://open.spotify.com/track/61ks9qYaFaMxUGpYsl1BCF,2025
160,Stromae,Formidable,2013,https://www.youtube.com/watch?v=S_xH7noaqTA,https://open.spotify.com/track/382n05RtneO3ykQlFQrAd1,2025
161,Pitbull & Ne-Yo & Afrojack & Nayer,Give Me Everything,2011,https://www.youtube.com/watch?v=EPo5wWmKEaI,https://open.spotify.com/track/4QNpBfC0zvjKqPJcyqBy9W,2025
162,Metejoor & Hannah Mae,Wat Wil Je Van Mij,2022,https://www.youtube.com/watch?v=VkoVYufWi_8,https://open.spotify.com/track/1KxRzfQuO8k0dCua9JVRgM,2025
