artist,title,year,base_year,youtube_link
Led Zeppelin,Since I've Been Loving You,1970,2016,https://www.youtube.com/watch?v=N_lSJ-0Gl7Q
Beatles,Strawberry Fields Forever,1967,2016,https://www.youtube.com/watch?v=HtUH9z_Oey8
Nick Drake,Northern Sky,1970,2016,https://www.youtube.com/watch?v=S3jCFeCtSjk
Oasis,Wonderwall,1995,2016,https://www.youtube.com/watch?v=bx1Bh8ZvH84
Doors,L.A. Woman,1971,2016,https://www.youtube.com/watch?v=vHXjcdNIN-Q
Simon & Garfunkel,Bridge Over Troubled Water,1969,2016,https://www.youtube.com/watch?v=4G-YQA_bsOU
Al Stewart,Year Of The Cat,1976,2016,https://www.youtube.com/watch?v=Ak_MTXQALa0
dEUS,Nothing Really Ends,2001,2016,https://www.youtube.com/watch?v=DShD04S1nIs
Jimi Hendrix Experience,Voodoo Chile,1968,2016,https://www.youtube.com/watch?v=qFfnlYbFEiE
Jan De Wilde,Eerste Sneeuw,1990,2016,https://www.youtube.com/watch?v=l4uunCux8so
Metallica,One,1988,2016,https://www.youtube.com/watch?v=WM8bTdBs-cw
Toto,Africa,1982,2016,https://www.youtube.com/watch?v=FTQbiNvZqaY
Peter Gabriel,Biko,1980,2016,https://www.youtube.com/watch?v=luVpsM3YAgw
Fleetwood Mac,Oh Well (Part 1),1969,2016,https://www.youtube.com/watch?v=J0ag8DkipmQ
King Crimson,In The Court Of The Crimson King,1969,2016,https://www.youtube.com/watch?v=ukgraQ-xkp4
Pink Floyd,Another Brick In The Wall (Part II),1979,2016,https://www.youtube.com/watch?v=HrxX9TBj2zY
Verve,Bitter Sweet Symphony,1997,2016,https://www.youtube.com/watch?v=1lyu1KKwC74&t=13s&pp=2AENkAIB
Beatles,While My Guitar Gently Weeps,1968,2016,https://www.youtube.com/watch?v=VJDJs9dumZI
Jefferson Airplane,White Rabbit,1967,2016,https://www.youtube.com/watch?v=pnJM_jC7j_4
Pink Floyd,The Great Gig In The Sky,1973,2016,https://www.youtube.com/watch?v=vWZ6hmHj2MA&pp=0gcJCf8Ao7VqN5tD
Iggy Pop,The Passenger,1977,2016,https://www.youtube.com/watch?v=-fWw7FE9tTo
Radiohead,Fake Plastic Trees,1995,2016,https://www.youtube.com/watch?v=n5h0qHwNrHk
Animals,The House Of The Rising Sun,1964,2016,https://www.youtube.com/watch?v=4-43lLKaqBQ
Dire Straits,Telegraph Road (Album Version),1982,2016,https://www.youtube.com/watch?v=EX2n2ftbdZU
Jethro Tull,Locomotive Breath,1971,2016,https://www.youtube.com/watch?v=eSUdlUmtg3Q
Nick Cave & The Bad Seeds,The Ship Song,1990,2016,https://www.youtube.com/watch?v=T0spQCw35D4
Paul Simon,Graceland (Album Version),1986,2016,https://www.youtube.com/watch?v=GP6a-7MP91g
Boudewijn De Groot,Testament,1966,2016,https://www.youtube.com/watch?v=k1Zy2V11uNA
Tom Waits,I Hope That I Don't Fall In Love With You,1973,2016,https://www.youtube.com/watch?v=EtLVXBqfqBY
David Bowie,Absolute Beginners,1986,2016,https://www.youtube.com/watch?v=iCJLOXqnT2I
Nina Simone,Mr. Bojangles,1971,2016,https://www.youtube.com/watch?v=LzofnHLOer4&pp=0gcJCfwAo7VqN5tD
Lou Reed,Walk On The Wild Side,1973,2016,https://www.youtube.com/watch?v=oG6fayQBm9w
Pink Floyd,Money (Album Version),1973,2016,https://www.youtube.com/watch?v=cpbbuaIA3Ds
U2,With Or Without You,1987,2016,https://www.youtube.com/watch?v=ujNeHIo7oTE&pp=0gcJCf8Ao7VqN5tD
Jacques Brel,Le Plat Pays,1962,2016,https://www.youtube.com/watch?v=nPab7FtNzLE
Queen & David Bowie,Under Pressure,1981,2016,https://www.youtube.com/watch?v=a01QQZyl-_I
Marvin Gaye,I Heard It Through The Grapevine,1968,2016,https://www.youtube.com/watch?v=cXWHpbpNdHE
King Crimson,21st Century Schizoid Man,1969,2016,https://www.youtube.com/watch?v=7OvW8Z7kiws
Beach Boys,Good Vibrations,1966,2016,https://www.youtube.com/watch?v=apBWI6xrbLY
Tim Hardin,How Can We Hang On To A Dream,1966,2016,https://www.youtube.com/watch?v=A9pNnKxewss
Creedence Clearwater Revival,I Put A Spell On You,1968,2016,https://www.youtube.com/watch?v=KWxDGQm2hKk
Joan Armatrading,The Weakness In Me,1981,2016,https://www.youtube.com/watch?v=6a8MRbHf5pA
"Emerson, Lake & Palmer",Lucky Man,1970,2016,https://www.youtube.com/watch?v=yRvljAT4O6Q&pp=0gcJCfwAo7VqN5tD
Band,The Weight,1968,2016,https://www.youtube.com/watch?v=FFqb1I-hiHE
Small Faces,Tin Soldier,1968,2016,https://www.youtube.com/watch?v=6vWTtx_PxPo
Neil Young & Crazy Horse,Cowgirl In The Sand,1969,2016,https://www.youtube.com/watch?v=SNl13t9ZtmA
Gerry Rafferty,Baker Street,1978,2016,https://www.youtube.com/watch?v=Fo6aKnRnBxM
John Cale,(I Keep A) Close Watch,1975,2016,https://www.youtube.com/watch?v=hEnjTeXyhQ0
Smiths,How Soon Is Now,1984,2016,https://www.youtube.com/watch?v=hnpILIIo9ek
Prince & The Revolution,Sometimes It Snows In April,1986,2016,https://www.youtube.com/watch?v=ikZgBhSMSUM
David Bowie,Starman,1972,2016,https://www.youtube.com/watch?v=t365MuktYQs
Aretha Franklin,I Say A Little Prayer,1968,2016,https://www.youtube.com/watch?v=TDyiREoBw0o
Rod Stewart,Maggie May,1971,2016,https://www.youtube.com/watch?v=KbI_awR4CKE
Who,Baba O'Riley,1971,2016,https://www.youtube.com/watch?v=x2KRpRMSu4g
Leonard Cohen,The Partisan,1968,2016,https://www.youtube.com/watch?v=hs5hOhI4pEE
Bruce Springsteen,Atlantic City,1982,2016,https://www.youtube.com/watch?v=M3eu1gW-bQ8
dEUS,Suds & Soda,1994,2016,https://www.youtube.com/watch?v=h3r7Oo0Fs-8
Françoise Hardy,Tous Les Garçons Et Les Filles,1962,2016,https://www.youtube.com/watch?v=XPkBMqehr5k
Temptations,Papa Was A Rollin' Stone,1972,2016,https://www.youtube.com/watch?v=71l85z2bXAs
Simon & Garfunkel,The Boxer,1969,2016,https://www.youtube.com/watch?v=l3LFML_pxlY
Creedence Clearwater Revival,Have You Ever Seen The Rain,1970,2016,https://www.youtube.com/watch?v=u1V8YRJnr4Q&pp=0gcJCf8Ao7VqN5tD
Steve Miller Band,Fly Like An Eagle,1976,2016,https://www.youtube.com/watch?v=WuXwSyahgW4
Neil Young,Rockin' In The Free World,1989,2016,https://www.youtube.com/watch?v=DvxxdZpMFHg&pp=0gcJCf8Ao7VqN5tD
Queen,Crazy Little Thing Called Love,1979,2016,https://www.youtube.com/watch?v=zO6D_BAuYCI
Nina Simone,My Baby Just Cares For Me,1957,2016,https://www.youtube.com/watch?v=MgKru4HosYs
Rita Mitsouko,Marcia Baïla,1984,2016,https://www.youtube.com/watch?v=1zWlnzFXcKY
Elvis Presley,It's Now Or Never,1960,2016,https://www.youtube.com/watch?v=Uwelrtb8Oho&pp=0gcJCf8Ao7VqN5tD
Neil Young,Old Man,1972,2016,https://www.youtube.com/watch?v=ZKCiC-H2Xbg
Janis Joplin & Big Brother & The Holding Company,Piece Of My Heart,1968,2016,https://www.youtube.com/watch?v=SCngPse1iiI
