artist,title,year,youtube_link,spotify_link,base_year
Adam & The Ants,Stand And Deliver,1981,https://www.youtube.com/watch?v=4B2a6l6wM2k,https://open.spotify.com/track/61QIfqud4mdN8JgTgIlW9M,2001
Adam Lambert,Ghost Town,2015,https://www.youtube.com/watch?v=Ix8ocFEMa1o,https://open.spotify.com/track/44aN5xKL3kGHvQ5bXVk6B8,2015
Adamo,C'est Ma Vie,1975,https://www.youtube.com/watch?v=KjP01gwxNSo,https://open.spotify.com/track/6VJzONpOl2bzjOrbqJW2Sf,2006
Adamo,Dolce Paola,1964,https://www.youtube.com/watch?v=juyEiQrRwak,https://open.spotify.com/track/2i7BnaFeJvfHhzWZs9qB6F,2001
Adamo,Inch' Allah,1967,https://www.youtube.com/watch?v=qIkrsBOymAY,https://open.spotify.com/track/2CcOzLNvBpIkVR39Z2Nzzd,2005
Adamo,Tombe La Neige,1963,https://www.youtube.com/watch?v=_64nc_NLE_I,https://open.spotify.com/track/3d7EDEz4PLcXP9pufWVu6Y,1999
Adamo,"Vous Permettez, Monsieur",1963,https://www.youtube.com/watch?v=7jECVTHcP00,https://open.spotify.com/track/7yH7kRwkugC5Ww3Vxb045a,1999
Adamski & Seal,Killer,1990,https://www.youtube.com/watch?v=LtYujyhvIyQ,https://open.spotify.com/track/5jhDeobWatA1XAHWKOWPh2,2009
Adele,All I Ask,2015,https://www.youtube.com/watch?v=jb5g4UFHmfQ,https://open.spotify.com/track/6DEMMeWXfmFAXgDUMMzeg6,2019
Adele,Chasing Pavements,2008,https://www.youtube.com/watch?v=08DjMT-qR9g,https://open.spotify.com/track/71WAtDcWVYMoCsblD2uQXx,2009
Adele,Easy On Me,2021,https://www.youtube.com/watch?v=U3ASj1L6_sY,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,2021
Adele,Hello,2015,https://www.youtube.com/watch?v=YQHsXMglC9A,https://open.spotify.com/track/1MDoll6jK4rrk2BcFRP5i7,2015
Adele,Hometown Glory (Album Version),2008,https://www.youtube.com/watch?v=9bPTk5Kmpus,https://open.spotify.com/track/4zFHwVj4A8s0G5f7aOlpKo,2015
Adele,Make You Feel My Love,2008,https://www.youtube.com/watch?v=0put0_a--Ng,https://open.spotify.com/track/5FgPwJ7Nh2FVmIXviKl2VF,2009
Adele,Million Years Ago,2015,https://www.youtube.com/watch?v=Db9ciJPIaEU,https://open.spotify.com/track/2qBmtZnPSQouvADmqaHKxk,2016
Adele,Rolling In The Deep,2010,https://www.youtube.com/watch?v=rYEDA3JcQqw,https://open.spotify.com/track/1CkvWZme3pRgbzaxZnTl5X,2011
Adele,Rumour Has It,2011,https://www.youtube.com/watch?v=C1G3jmtoOfk,https://open.spotify.com/track/5mFMb5OHI3cN0UjITVztCj,2011
Adele,Send My Love (To Your New Lover),2015,https://www.youtube.com/watch?v=fk4BbF7B29w,https://open.spotify.com/track/3KZcrZ36LW9RnChK1iIkth,2018
Adele,Set Fire To The Rain,2011,https://www.youtube.com/watch?v=a2giXO6eyuI,https://open.spotify.com/track/73CMRj62VK8nUS4ezD2wvi,2011
Adele,Skyfall,2012,https://www.youtube.com/watch?v=DeumyOzKqgI,https://open.spotify.com/track/3mr584ZFSkZrWja9kJAzlb,2012
Adele,Someone Like You,2011,https://www.youtube.com/watch?v=hLQl3WQQoQ0,https://open.spotify.com/track/1zwMYTA5nlNjZxYrvBB2pV,2011
Adele,Turning Tables,2011,https://www.youtube.com/watch?v=3SojhAemf34,https://open.spotify.com/track/0X1FYVkgy7Tfw79cY3C7lx,2012
Adele,Water Under The Bridge,2015,https://www.youtube.com/watch?v=l8djdhhFuxo,https://open.spotify.com/track/7xfzwPasShmaPL7gB7va3J,2017
Adele,When We Were Young,2015,https://www.youtube.com/watch?v=a1IuJLebHgM,https://open.spotify.com/track/0cj2joJcY6b4XSRfj2eZOl,2015
Adiemus,Adiemus,1995,https://www.youtube.com/watch?v=aL8kZ-iVk90,https://open.spotify.com/track/1CQvHvFeJ9wf0ooSwyU6NF,2001
Adriano Celentano,Azzurro,1968,https://www.youtube.com/watch?v=HCyzGuipTd4,https://open.spotify.com/track/3PGAVn1afY6sdmUkwczZ4h,2007
Adriano Celentano,Prisencolinensinainciusol,1972,https://www.youtube.com/watch?v=bQDY3HFkh_Y,https://open.spotify.com/track/05JZ5FjuflMEY9uq5ogBYF,2001
Aerosmith,Crazy,1992,https://www.youtube.com/watch?v=NMNgbISmF4I,https://open.spotify.com/track/3QxKpdTB8ZSFn8MGeCCpsQ,2014
Aerosmith,Cryin',1993,https://www.youtube.com/watch?v=qfNmyxV2Ncw,https://open.spotify.com/track/4t1fWWJQs5V9YErfsrDslC,2014
Aerosmith,Dream On,1973,https://www.youtube.com/watch?v=JojwHc1MKag,https://open.spotify.com/track/1xsYj84j7hUDDnTTerGWlH,2006
Aerosmith,I Don't Want To Miss A Thing (Album Version),1998,https://www.youtube.com/watch?v=JkK8g6FMEXE,https://open.spotify.com/track/225xvV8r1yKMHErSWivnow,2007
Aerosmith,Love In An Elevator,1989,https://www.youtube.com/watch?v=h3Yrhv33Zb8,https://open.spotify.com/track/1nZ2TI2hNPGDYyesyaaASn,2009
Afric Simone,Ramaya,1975,https://www.youtube.com/watch?v=By3cwKFXbVQ,https://open.spotify.com/track/50T7tXn8LMOAkKiwx2l3RX,2001
After Tea,Not Just A Flower In Your Hair,1967,https://www.youtube.com/watch?v=_sqKEpK9948,https://open.spotify.com/track/4x5fEeooGOG4aiufa2k8dP,2001
Agnes Obel,Riverside,2010,https://www.youtube.com/watch?v=vjncyiuwwXQ,https://open.spotify.com/track/7iHl6LcHD94l5VpmfrBUmG,2018
Agnetha FÃ¤ltskog,Wrap Your Arms Around Me,1983,https://www.youtube.com/watch?v=pPCuCvAAELQ,https://open.spotify.com/track/40YbGlUayEeQmG6YKMCfzJ,2002
Air & Beth Hirsch,All I Need,1997,https://www.youtube.com/watch?v=kxWFyvTg6mc,https://open.spotify.com/track/6T10XPeC9X5xEaD6tMcK6M,2005
Air Bubble,Racing Car,1976,https://www.youtube.com/watch?v=DeQXqggQGXU,https://open.spotify.com/track/2wHq1jninFrjEbQ9QGw3O0,2002
Air Supply,All Out Of Love,1980,https://www.youtube.com/watch?v=JWdZEumNRmI,https://open.spotify.com/track/7dQC53NiYOY9gKg3Qsu2Bs,1999
Al Green,Let's Stay Together,1971,https://www.youtube.com/watch?v=XXx6RDzR6eM,https://open.spotify.com/track/63xdwScd1Ai1GigAwQxE8y,2006
Al Jarreau,Roof Garden,1981,https://www.youtube.com/watch?v=AD7PQySHAZc,https://open.spotify.com/track/1CpDrx0Q7f2Wv3tBXDMt6z,1999
Al Martino,Spanish Eyes,1966,https://www.youtube.com/watch?v=enIdTGckjKs,https://open.spotify.com/track/55Z0KHofKqhOMIOygAVXxm,1999
Al Martino,Volare,1976,https://www.youtube.com/watch?v=j8D9sTk9ZW8,https://open.spotify.com/track/5bSYui3r6mQCMt174jYZ5z,1999
Al Stewart,On The Border,1977,https://www.youtube.com/watch?v=W5ihN8ds9aE,https://open.spotify.com/track/4quZUUklzrX8nI4q1jIXHT,1999
Al Stewart,Year Of The Cat (Album Version),1976,https://www.youtube.com/watch?v=Ak_MTXQALa0,https://open.spotify.com/track/0BPl2z35ItKYbpvGjyh3mU,1999
Alain Clark,Blow Me Away,2008,https://www.youtube.com/watch?v=mljFfAyWVL0,https://open.spotify.com/track/6525Heg6FjSULhWVclf29Q,2009
Alain Clark,Father & Friend,2007,https://www.youtube.com/watch?v=RbqF6Xv1mNU,https://open.spotify.com/track/40efaM6YEmp14UuYP44Hd0,2009
Alain Clark,Love Is Everywhere,2010,https://www.youtube.com/watch?v=3okLGdekTYk,https://open.spotify.com/track/7xTBwr6nAjF1f2LEab3ssz,2010
Alan Parsons Project,Don't Answer Me,1984,https://www.youtube.com/watch?v=JLvFbBR4XOg,https://open.spotify.com/track/3IeVrRu0jOlwOkTwD9AykT,1999
Alan Parsons Project,Eye In The Sky (Album Version),1982,https://www.youtube.com/watch?v=NNiie_zmSr8,https://open.spotify.com/track/2sIbHjfJ3nbMXNz4w03fWv,2002
Alan Parsons Project,Old And Wise,1982,https://www.youtube.com/watch?v=FDlDKvidYbk,https://open.spotify.com/track/5qdlMWYpCtJFsHey3rXYms,1999
Alan Parsons Project,The Turn Of A Friendly Card,1980,https://www.youtube.com/watch?v=jT0cKjDACIY,https://open.spotify.com/track/4E6SMz8ioJ2jj8uQrULqWM,2003
Alan Price Set,I Put A Spell On You,1966,https://www.youtube.com/watch?v=0yxZ1F093Us,https://open.spotify.com/track/4Cyhf846mUV3GwapXJpw7Y,2003
Alan Price Set,Simon Smith And His Amazing Dancing Bear,1967,https://www.youtube.com/watch?v=sVulPluv5jo,https://open.spotify.com/track/5o3XjejPODxehiXu4yaQcE,1999
Alan Price Set,The House That Jack Built,1967,https://www.youtube.com/watch?v=1uYIXZJjk9w,https://open.spotify.com/track/0fniF7iKoZaH3mwoQCxShm,1999
Alan Walker,Faded,2015,https://www.youtube.com/watch?v=60ItHLz5WEA,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,2016
Alanis Morissette,Ironic,1995,https://www.youtube.com/watch?v=Jne9t8sHpUc,https://open.spotify.com/track/1d6KS9GH06JAd19uiBy9IE,2007
Alanis Morissette,Thank You,1998,https://www.youtube.com/watch?v=OOgpT5rEKIU,https://open.spotify.com/track/3CVDronuSnhguSUguPoseM,2014
Alanis Morissette,Uninvited,1998,https://www.youtube.com/watch?v=t45g0E1Z6cE,https://open.spotify.com/track/7c1iI6dwdCpHGYT8DGEfab,2018
Alanis Morissette,You Oughta Know,1995,https://www.youtube.com/watch?v=NPcyTyilmYY,https://open.spotify.com/track/3jS7bB0oXVOwGFZn3aE5NV,2009
Alannah Myles,Black Velvet (Album Version),1989,https://www.youtube.com/watch?v=tT4d1LQy4es,https://open.spotify.com/track/1KU5EHSz04JhGg3rReGJ0N,2000
Albert Hammond,I Don't Wanna Die In An Air Disaster,1974,https://www.youtube.com/watch?v=QQe9x_7nMvg,https://open.spotify.com/track/4Kcn3bOKxqVpSka7XMhSHN,1999
Albert Hammond,I'm A Train,1974,https://www.youtube.com/watch?v=u3tlCqqg7lw,https://open.spotify.com/track/2ch9sJo62ctT2meP4xz6pd,1999
Albert Hammond,It Never Rains In Southern California,1972,https://www.youtube.com/watch?v=meDpNwem0Vo,https://open.spotify.com/track/6tunhVGD8C05MZNjSVIsjw,1999
Albert Hammond,The Free Electric Band,1973,https://www.youtube.com/watch?v=f2zoq2uI0Fc,https://open.spotify.com/track/2bbIswC2E2MMSSjcHFD17G,1999
Alderliefste & Paul De Leeuw,Une Belle Histoire-Een Mooi Verhaal,2006,https://www.youtube.com/watch?v=orUIFAlxiZ0,https://open.spotify.com/track/24uRI75arAbytHp6YDtnCZ,2009
Alderliefste & Ramses Shaffy & Liesbeth List,Laat Me-Vivre,2005,https://www.youtube.com/watch?v=Ih5i8lEpaH0,https://open.spotify.com/track/0qTZx4nUMKIEbYTmdGM7gI,2005
Alessandro Safina,Luna,2000,https://www.youtube.com/watch?v=PrXfHRYhHXk,https://open.spotify.com/track/2zCjaqWmGZjeMxAwq8CXjN,2001
Alessi,"Oh, Lori",1975,https://www.youtube.com/watch?v=jXbB_h6Rjds,https://open.spotify.com/track/2ySmDfSawPEwvjDOxUQvnq,1999
Alex Harvey,To Make My Life Beautiful,1971,https://www.youtube.com/watch?v=k1Y7EFW7frU,https://open.spotify.com/track/6v7QKJJ4dKinoX1O4CHr5m,1999
Alexander Curly,Guus,1975,https://www.youtube.com/watch?v=U4WiIEGYZEs,https://open.spotify.com/track/34SuDsoNO7lOXO4THmkBuf,1999
Alexander Curly,I'll Never Drink Again,1972,https://www.youtube.com/watch?v=c8nVkglVbew,https://open.spotify.com/track/0rwOgDIVZmYKaEedAGi71v,2000
Alexis Jordan,Happiness,2011,https://www.youtube.com/watch?v=X6F5g_3V1ZE,https://open.spotify.com/track/5S4J5QVt1X0ZACiPOrOCoq,2011
Alice & Franco Battiato,I Treni Di Tozeur,1984,https://www.youtube.com/watch?v=yVtkvuKpKf8,https://open.spotify.com/track/0o2eGeNxofrU3EF8aPgs9Y,1999
Alice Cooper,Elected,1972,https://www.youtube.com/watch?v=e_qtQ52eFB0,https://open.spotify.com/track/6avV0X27a8FKFbX8JOdHbc,2000
Alice Cooper,Halo Of Flies,1971,https://www.youtube.com/watch?v=fGOD1-NtxH8,https://open.spotify.com/track/26uVP8g7Uijo0zuN22De3x,1999
Alice Cooper,Hello Hurray,1973,https://www.youtube.com/watch?v=JpgD_tecTGg,https://open.spotify.com/track/2zyRVV93ijUwH1SyrPcTRR,2000
Alice Cooper,How You Gonna See Me Now,1978,https://www.youtube.com/watch?v=c_Bv8UkzW7g,https://open.spotify.com/track/0spN4UlSI0X6YSYCWpSzgz,1999
Alice Cooper,Poison,1989,https://www.youtube.com/watch?v=Qq4j1LtCdww,https://open.spotify.com/track/1iQpStZpzBb5TOuTDKJKdj,2011
